1,1,12
1,2,11
1,3,9
1,4,19
1,5,21
1,6,23
2,1,14
2,2,13
2,3,10
2,4,20
2,5,22
2,6,24
3,1,16
3,2,15
3,3,17
3,4,18
3,5,25
3,6,26
4,1,8
4,2,7
4,3,0
4,4,35
4,5,33
4,6,34
5,1,6
5,2,4
5,3,2
5,4,28
5,5,31
5,6,32
6,1,5
6,2,3
6,3,1
6,4,27
6,5,29
6,6,30
