He,2.0,9.0,7.0,0.088
He,2.0,10.0,7.0,0.114
He,2.0,11.0,7.0,0.133
He,2.0,12.0,7.0,0.147
He,2.0,13.0,7.0,0.159
He,2.0,14.0,7.0,0.168
He,2.0,9.0,8.0,0.036
He,2.0,10.0,8.0,0.062
He,2.0,11.0,8.0,0.081
He,2.0,12.0,8.0,0.095
He,2.0,13.0,8.0,0.106
He,2.0,14.0,8.0,0.115
He,2.0,10.0,9.0,0.026
He,2.0,11.0,9.0,0.045
He,2.0,12.0,9.0,0.059
He,2.0,13.0,9.0,0.07
He,2.0,14.0,9.0,0.079
He,2.0,11.0,10.0,0.019
He,2.0,12.0,10.0,0.033
He,2.0,13.0,10.0,0.045
He,2.0,14.0,10.0,0.054
He,2.0,12.0,11.0,0.014
He,2.0,13.0,11.0,0.026
He,2.0,14.0,11.0,0.035
He,2.0,13.0,12.0,0.011
He,2.0,14.0,12.0,0.02
He,2.0,14.0,13.0,0.009
Li,3.0,2.0,1.0,18.704
Li,3.0,3.0,1.0,22.167
Li,3.0,4.0,1.0,23.379
Li,3.0,5.0,1.0,23.94
Li,3.0,6.0,1.0,24.245
Li,3.0,7.0,1.0,24.429
Li,3.0,8.0,1.0,24.548
Li,3.0,9.0,1.0,24.63
Li,3.0,10.0,1.0,24.688
Li,3.0,11.0,1.0,24.732
Li,3.0,12.0,1.0,24.765
Li,3.0,13.0,1.0,24.79
Li,3.0,14.0,1.0,24.81
Li,3.0,3.0,2.0,3.463
Li,3.0,4.0,2.0,4.675
Li,3.0,5.0,2.0,5.236
Li,3.0,6.0,2.0,5.541
Li,3.0,7.0,2.0,5.725
Li,3.0,8.0,2.0,5.844
Li,3.0,9.0,2.0,5.926
Li,3.0,10.0,2.0,5.985
Li,3.0,11.0,2.0,6.028
Li,3.0,12.0,2.0,6.061
Li,3.0,13.0,2.0,6.086
Li,3.0,14.0,2.0,6.107
Li,3.0,4.0,3.0,1.212
Li,3.0,5.0,3.0,1.773
Li,3.0,6.0,3.0,2.078
Li,3.0,7.0,3.0,2.262
Li,3.0,8.0,3.0,2.381
Li,3.0,9.0,3.0,2.463
Li,3.0,10.0,3.0,2.521
Li,3.0,11.0,3.0,2.564
Li,3.0,12.0,3.0,2.597
Li,3.0,13.0,3.0,2.623
Li,3.0,14.0,3.0,2.643
Li,3.0,5.0,4.0,0.561
Li,3.0,6.0,4.0,0.866
Li,3.0,7.0,4.0,1.05
Li,3.0,8.0,4.0,1.169
Li,3.0,9.0,4.0,1.251
Li,3.0,10.0,4.0,1.309
Li,3.0,11.0,4.0,1.352
Li,3.0,12.0,4.0,1.385
Li,3.0,13.0,4.0,1.411
Li,3.0,14.0,4.0,1.431
Li,3.0,6.0,5.0,0.305
Li,3.0,7.0,5.0,0.489
Li,3.0,8.0,5.0,0.608
Li,3.0,9.0,5.0,0.69
Li,3.0,10.0,5.0,0.748
Li,3.0,11.0,5.0,0.791
Li,3.0,12.0,5.0,0.824
Li,3.0,13.0,5.0,0.85
Li,3.0,14.0,5.0,0.87
Li,3.0,7.0,6.0,0.184
Li,3.0,8.0,6.0,0.303
Li,3.0,9.0,6.0,0.385
Li,3.0,10.0,6.0,0.443
Li,3.0,11.0,6.0,0.487
Li,3.0,12.0,6.0,0.519
Li,3.0,13.0,6.0,0.545
Li,3.0,14.0,6.0,0.565
Li,3.0,8.0,7.0,0.119
Li,3.0,9.0,7.0,0.201
Li,3.0,10.0,7.0,0.26
Li,3.0,11.0,7.0,0.303
Li,3.0,12.0,7.0,0.336
Li,3.0,13.0,7.0,0.361
Li,3.0,14.0,7.0,0.382
Li,3.0,9.0,8.0,0.082
Li,3.0,10.0,8.0,0.14
Li,3.0,11.0,8.0,0.184
Li,3.0,12.0,8.0,0.216
Li,3.0,13.0,8.0,0.242
Li,3.0,14.0,8.0,0.262
Li,3.0,10.0,9.0,0.058
Li,3.0,11.0,9.0,0.102
Li,3.0,12.0,9.0,0.135
Li,3.0,13.0,9.0,0.16
Li,3.0,14.0,9.0,0.181
Li,3.0,11.0,10.0,0.043
Li,3.0,12.0,10.0,0.076
Li,3.0,13.0,10.0,0.102
Li,3.0,14.0,10.0,0.122
Li,3.0,12.0,11.0,0.033
Li,3.0,13.0,11.0,0.059
Li,3.0,14.0,11.0,0.079
Li,3.0,13.0,12.0,0.026
Li,3.0,14.0,12.0,0.046
Li,3.0,14.0,13.0,0.02
Be,4.0,2.0,1.0,33.378
Be,4.0,3.0,1.0,39.558
Be,4.0,4.0,1.0,41.721
Be,4.0,5.0,1.0,42.722
Be,4.0,6.0,1.0,43.266
Be,4.0,7.0,1.0,43.594
Be,4.0,8.0,1.0,43.807
Be,4.0,9.0,1.0,43.953
Be,4.0,10.0,1.0,44.057
Be,4.0,11.0,1.0,44.135
Be,4.0,12.0,1.0,44.193
Be,4.0,13.0,1.0,44.239
Be,4.0,14.0,1.0,44.275
Be,4.0,3.0,2.0,6.18
Be,4.0,4.0,2.0,8.343
Be,4.0,5.0,2.0,9.344
Be,4.0,6.0,2.0,9.888
Be,4.0,7.0,2.0,10.216
Be,4.0,8.0,2.0,10.429
Be,4.0,9.0,2.0,10.574
Be,4.0,10.0,2.0,10.679
Be,4.0,11.0,2.0,10.756
Be,4.0,12.0,2.0,10.815
Be,4.0,13.0,2.0,10.861
Be,4.0,14.0,2.0,10.897
Be,4.0,4.0,3.0,2.163
Be,4.0,5.0,3.0,3.164
Be,4.0,6.0,3.0,3.708
Be,4.0,7.0,3.0,4.036
Be,4.0,8.0,3.0,4.249
Be,4.0,9.0,3.0,4.394
Be,4.0,10.0,3.0,4.499
Be,4.0,11.0,3.0,4.576
