obs_id,object,event_file,pixel,t_exp_s,time_start,time_end,time_span,n_all,rate_all,n_both_pass,rate_both_pass,n_large_only,rate_large_only,n_small_only,rate_small_only,n_both_flag,rate_both_flag
900001010,4U1630-472,small_large_xa900001010rsl_p0px1000_uf_noBL_prevnext_cutclgti_clgti_stdcut.evt,0,50286.01370701194,161746311.0120718,161845317.90328768,99006.89121589065,144476,2.8730851652266503,144140,2.866403386830819,110,0.002187486974825795,226,0.004494291421005724,0,0.0
900001010,4U1630-472,small_large_xa900001010rsl_p0px1000_uf_noBL_prevnext_cutclgti_clgti_stdcut.evt,1,50286.01370701194,161746311.0120718,161845317.90328768,99006.89121589065,8787,0.17474043679812964,8778,0.17456146059109842,5,9.943122612844522e-05,4,7.954498090275618e-05,0,0.0
900001010,4U1630-472,small_large_xa900001010rsl_p0px1000_uf_noBL_prevnext_cutclgti_clgti_stdcut.evt,2,50286.01370701194,161746311.0120718,161845317.90328768,99006.89121589065,32678,0.6498427214850666,32652,0.6493256791091987,13,0.00025852118793395757,13,0.00025852118793395757,0,0.0
900001010,4U1630-472,small_large_xa900001010rsl_p0px1000_uf_noBL_prevnext_cutclgti_clgti_stdcut.evt,3,50286.01370701194,161746311.0120718,161845317.90328768,99006.89121589065,6123,0.12176347951689402,6122,0.12174359327166832,0,0.0,1,1.9886245225689045e-05,0,0.0
900001010,4U1630-472,small_large_xa900001010rsl_p0px1000_uf_noBL_prevnext_cutclgti_clgti_stdcut.evt,4,50286.01370701194,161746311.0120718,161845317.90328768,99006.89121589065,17187,0.3417848966939176,17181,0.34166557922256346,0,0.0,6,0.00011931747135413427,0,0.0
900001010,4U1630-472,small_large_xa900001010rsl_p0px1000_uf_noBL_prevnext_cutclgti_clgti_stdcut.evt,5,50286.01370701194,161746311.0120718,161845317.90328768,99006.89121589065,3252,0.06467006947394077,3150,0.06264167246092049,101,0.0020085107677945933,1,1.9886245225689045e-05,0,0.0
900001010,4U1630-472,small_large_xa900001010rsl_p0px1000_uf_noBL_prevnext_cutclgti_clgti_stdcut.evt,6,50286.01370701194,161746311.0120718,161845317.90328768,99006.89121589065,5740,0.11414704759545512,5720,0.11374932269094133,19,0.00037783865928809186,1,1.9886245225689045e-05,0,0.0
900001010,4U1630-472,small_large_xa900001010rsl_p0px1000_uf_noBL_prevnext_cutclgti_clgti_stdcut.evt,7,50286.01370701194,161746311.0120718,161845317.90328768,99006.89121589065,29909,0.5947777084551337,29884,0.5942805523244914,17,0.00033806616883671375,8,0.00015908996180551236,0,0.0
900001010,4U1630-472,small_large_xa900001010rsl_p0px1000_uf_noBL_prevnext_cutclgti_clgti_stdcut.evt,8,50286.01370701194,161746311.0120718,161845317.90328768,99006.89121589065,8296,0.16497629039231632,8274,0.16453879299735116,20,0.0003977249045137809,2,3.977249045137809e-05,0,0.0
900001010,4U1630-472,small_large_xa900001010rsl_p0px1000_uf_noBL_prevnext_cutclgti_clgti_stdcut.evt,9,50286.01370701194,161746311.0120718,161845317.90328768,99006.89121589065,7219,0.14355880428424922,7088,0.14095370615968394,126,0.0025056668984368194,5,9.943122612844522e-05,0,0.0
900001010,4U1630-472,small_large_xa900001010rsl_p0px1000_uf_noBL_prevnext_cutclgti_clgti_stdcut.evt,10,50286.01370701194,161746311.0120718,161845317.90328768,99006.89121589065,28522,0.5671954863271029,28398,0.5647295919191175,110,0.002187486974825795,14,0.0002784074331596466,0,0.0
900001010,4U1630-472,small_large_xa900001010rsl_p0px1000_uf_noBL_prevnext_cutclgti_clgti_stdcut.evt,11,50286.01370701194,161746311.0120718,161845317.90328768,99006.89121589065,7608,0.15129455367704225,7534,0.14982297153034127,71,0.0014119234110239222,3,5.9658735677067134e-05,0,0.0
900001010,4U1630-472,small_large_xa900001010rsl_p0px1000_uf_noBL_prevnext_cutclgti_clgti_stdcut.evt,13,50286.01370701194,161746311.0120718,161845317.90328768,99006.89121589065,17334,0.3447081747420939,17232,0.3426797777290736,96,0.0019090795416661483,6,0.00011931747135413427,0,0.0
900001010,4U1630-472,small_large_xa900001010rsl_p0px1000_uf_noBL_prevnext_cutclgti_clgti_stdcut.evt,14,50286.01370701194,161746311.0120718,161845317.90328768,99006.89121589065,6114,0.12158450330986281,6011,0.11953622005161685,102,0.0020283970130202827,1,1.9886245225689045e-05,0,0.0
900001010,4U1630-472,small_large_xa900001010rsl_p0px1000_uf_noBL_prevnext_cutclgti_clgti_stdcut.evt,15,50286.01370701194,161746311.0120718,161845317.90328768,99006.89121589065,27631,0.549476841831014,27566,0.5481842358913442,39,0.0007755635638018728,26,0.0005170423758679151,0,0.0
