#MJD GSC_ch1 GSC_ch1_e GSC_ch2 GSC_ch2_e GSC_ch3 GSC_ch3_e BAT_ch1 BAT_ch1_e	BAT_ch2 BAT_ch2_e BAT_ch3 BAT_ch3_e BAT_ch4 BAT_ch4_e HR HR_e
56575.5  0.037 0.018  0.027 0.015  0.032 0.017 		-0.000032 0.000147 -0.000225 0.000132 -0.000047 0.000101 -0.000026 0.000073 		  -0.001256   -0.002766
56576.5  0.037 0.013  0.053 0.012  0.013 0.011 		-0.000291 0.000081 -0.000096 0.000066  0.000004 0.000052  0.000050 0.000038 		   0.000101    0.001400
56577.5  0.055 0.014  0.043 0.011  0.023 0.011 		-0.000366 0.000087  0.000046 0.000076 -0.000002 0.000060  0.000035 0.000045 		  -0.000039   -0.001095
56578.5  0.025 0.011  0.038 0.009  0.014 0.010 		 0.000156 0.000072  0.000105 0.000062 -0.000101 0.000049 -0.000001 0.000036 		  -0.004105   -0.002652
56579.5  0.044 0.012  0.038 0.009  0.017 0.010 		 0.000066 0.000065 -0.000073 0.000057 -0.000057 0.000045 -0.000042 0.000033 		  -0.001275   -0.001068
56580.5  0.029 0.009  0.018 0.007  0.011 0.008 		-0.000008 0.000089  0.000027 0.000075 -0.000020 0.000058  0.000031 0.000040 		  -0.000685   -0.002018
56581.5  0.029 0.008  0.041 0.007  0.018 0.007 		-0.000058 0.000096 -0.000036 0.000086  0.000005 0.000068 -0.000099 0.000049 		   0.000157    0.002341
56582.5  0.028 0.007  0.042 0.007  0.008 0.007 		 0.000070 0.000055 -0.000123 0.000049 -0.000040 0.000038  0.000062 0.000029 		  -0.001427   -0.001420
56583.5  0.012 0.013  0.035 0.011  0.010 0.012 		 0.000202 0.000072  0.000091 0.000063  0.000019 0.000050  0.000074 0.000036 		   0.001650    0.004639
56584.5  0.040 0.009  0.027 0.006  0.019 0.007 		 0.000535 0.000094  0.000281 0.000082  0.000109 0.000065  0.000057 0.000046 		   0.002741    0.001729
56585.5  0.040 0.009  0.037 0.007  0.006 0.007 		 0.000974 0.000075  0.000218 0.000067  0.000033 0.000054  0.000030 0.000039 		   0.000814    0.001340
56586.5  0.039 0.008  0.045 0.006  0.008 0.006 		 0.000871 0.000092  0.000324 0.000078 -0.000045 0.000063  0.000146 0.000048 		  -0.001160   -0.001648
56587.5  0.051 0.011  0.035 0.008  0.011 0.009 		 0.000975 0.000111  0.000123 0.000094  0.000021 0.000075  0.000018 0.000053 		   0.000406    0.001479
56588.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.000673 0.000093  0.000190 0.000078 -0.000108 0.000062 -0.000172 0.000048 		-100.000000    0.000000
56589.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.000910 0.000099  0.000177 0.000086 -0.000041 0.000067 -0.000046 0.000046 		-100.000000    0.000000
56590.5  0.080 0.047 -0.029 0.028 -0.132 0.038 		 0.000596 0.000151  0.000475 0.000134  0.000136 0.000105 -0.000005 0.000082 		   0.001694    0.001633
56591.5  0.094 0.015  0.011 0.009 -0.056 0.010 		 0.000995 0.000079  0.000357 0.000070  0.000066 0.000055  0.000097 0.000041 		   0.000707    0.000601
56592.5  0.098 0.014  0.043 0.009 -0.014 0.008 		 0.000263 0.000096  0.000253 0.000088  0.000073 0.000070  0.000022 0.000051 		   0.000740    0.000721
56593.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.000910 0.000083  0.000335 0.000073  0.000017 0.000056  0.000004 0.000037 		-100.000000    0.000000
56594.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.000426 0.000082  0.000196 0.000073  0.000096 0.000056  0.000082 0.000040 		-100.000000    0.000000
56595.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.000310 0.000093  0.000168 0.000082  0.000049 0.000066 -0.000081 0.000049 		-100.000000    0.000000
56596.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.000654 0.000101  0.000095 0.000090  0.000110 0.000073 -0.000098 0.000053 		-100.000000    0.000000
56597.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.000777 0.000111 -0.000022 0.000099  0.000071 0.000078  0.000097 0.000060 		-100.000000    0.000000
56598.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.000196 0.000080  0.000079 0.000072  0.000028 0.000057  0.000054 0.000044 		-100.000000    0.000000
56599.5  0.000 0.007  0.037 0.007  0.024 0.008 		 0.000621 0.000079  0.000185 0.000071 -0.000004 0.000056  0.000030 0.000041 		  -0.244572 -111.289181
56600.5  0.022 0.006  0.042 0.005  0.025 0.006 		 0.000610 0.000110  0.000060 0.000098 -0.000000 0.000077 -0.000046 0.000058 		  -0.000016   -0.003483
56601.5  0.016 0.006  0.045 0.005  0.013 0.005 		 0.000174 0.000096  0.000005 0.000086  0.000119 0.000067  0.000053 0.000047 		   0.007468    0.004950
56602.5  0.029 0.006  0.053 0.005  0.011 0.005 		 0.000228 0.000095 -0.000117 0.000087  0.000136 0.000069 -0.000015 0.000051 		   0.004733    0.002597
56603.5  0.022 0.006  0.045 0.005  0.013 0.005 		 0.000286 0.000194 -0.000069 0.000179  0.000215 0.000139  0.000016 0.000090 		   0.009621    0.006678
56604.5  0.038 0.007  0.052 0.005  0.017 0.005 		 0.000352 0.000134  0.000148 0.000124  0.000061 0.000100 -0.000102 0.000077 		   0.001592    0.002626
56605.5  0.021 0.006  0.046 0.005  0.018 0.005 		 0.000363 0.000116  0.000428 0.000101 -0.000122 0.000081  0.000011 0.000060 		  -0.005765   -0.004179
56606.5  0.034 0.006  0.044 0.005  0.016 0.005 		-0.000149 0.000155 -0.000136 0.000143 -0.000318 0.000111  0.000070 0.000081 		  -0.009496   -0.003792
56607.5  0.036 0.007  0.044 0.006  0.014 0.006 		 0.000437 0.000144  0.000170 0.000126 -0.000011 0.000101 -0.000014 0.000075 		  -0.000319   -0.002814
56608.5  0.031 0.009  0.045 0.008  0.006 0.009 		 0.000294 0.000211  0.000231 0.000179  0.000150 0.000134  0.000041 0.000079 		   0.004899    0.004601
56609.5  0.061 0.011  0.060 0.008  0.018 0.009 		 0.000291 0.000255 -0.000105 0.000196  0.000072 0.000147  0.000035 0.000094 		   0.001174    0.002419
56610.5  0.035 0.006  0.031 0.005  0.016 0.006 		-0.000695 0.000281 -0.000235 0.000244 -0.000115 0.000181 -0.000106 0.000115 		  -0.003316   -0.005266
56611.5  0.033 0.007  0.045 0.006  0.022 0.006 		 0.000405 0.000187 -0.000295 0.000163 -0.000040 0.000126 -0.000075 0.000078 		  -0.001234   -0.003861
56612.5  0.025 0.007  0.040 0.006  0.026 0.007 		-0.000498 0.000149 -0.000008 0.000127 -0.000119 0.000098 -0.000045 0.000063 		  -0.004784   -0.004128
56613.5  0.039 0.007  0.039 0.006  0.010 0.007 		 0.000657 0.000676 -0.000471 0.000537 -0.000147 0.000415 -0.000119 0.000237 		  -0.003746   -0.010614
56614.5  0.053 0.008  0.034 0.006  0.012 0.006 		 0.000092 0.000283 -0.000155 0.000260  0.000677 0.000206  0.000189 0.000152 		   0.012873    0.004363
56615.5  0.051 0.009  0.045 0.007  0.010 0.007 		 0.000304 0.000187 -0.000456 0.000175 -0.000087 0.000134 -0.000039 0.000088 		  -0.001726   -0.002677
56616.5  0.052 0.009  0.050 0.007 -0.002 0.007 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56617.5  0.063 0.011  0.039 0.007  0.011 0.008 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56618.5  0.085 0.010  0.046 0.007  0.010 0.007 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56619.5  0.042 0.010  0.054 0.008  0.020 0.008 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56620.5  0.077 0.013  0.041 0.008  0.013 0.010 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56621.5  0.081 0.012  0.059 0.009  0.025 0.010 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56622.5  0.073 0.021  0.033 0.014  0.026 0.018 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56623.5  0.060 0.011  0.061 0.008  0.015 0.009 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56624.5  0.048 0.008  0.044 0.006  0.020 0.007 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56625.5  0.048 0.008  0.054 0.007  0.007 0.007 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56626.5  0.057 0.008  0.053 0.006  0.019 0.007 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56627.5  0.053 0.008  0.058 0.006  0.025 0.007 		 0.000233 0.000625 -0.000683 0.000551 -0.000367 0.000417 -0.000281 0.000247 		  -0.006966   -0.007969
56628.5  0.057 0.008  0.059 0.006  0.018 0.006 		 0.001105 0.000564  0.000657 0.000519 -0.000025 0.000391 -0.000277 0.000226 		  -0.000443   -0.006875
56629.5  0.070 0.008  0.038 0.005  0.017 0.006 		-0.000196 0.000519 -0.000247 0.000486  0.000115 0.000353 -0.000009 0.000200 		   0.001638    0.005007
56630.5  0.052 0.008  0.042 0.006  0.022 0.007 		-0.000333 0.000579 -0.001339 0.000547 -0.000083 0.000433 -0.000372 0.000262 		  -0.001606   -0.008355
56631.5  0.049 0.007  0.043 0.006  0.019 0.007 		 0.001086 0.000599  0.000701 0.000597 -0.000385 0.000436 -0.000236 0.000273 		  -0.007852   -0.008953
56632.5  0.029 0.007  0.043 0.006  0.014 0.007 		 0.000576 0.000437  0.001768 0.000429  0.000304 0.000308 -0.000014 0.000195 		   0.010368    0.010779
56633.5  0.049 0.008  0.038 0.006  0.015 0.007 		 0.002269 0.000804  0.000070 0.000894  0.000533 0.000622  0.000888 0.000381 		   0.010961    0.012923
56634.5  0.052 0.008  0.044 0.006  0.027 0.007 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56635.5  0.058 0.015  0.035 0.011  0.008 0.012 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56636.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.001360 0.002374  0.002611 0.002775  0.002535 0.001887  0.000182 0.001024 		-100.000000    0.000000
56637.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.001951 0.001486  0.002532 0.001537 -0.000339 0.001073  0.000111 0.000663 		-100.000000    0.000000
56638.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
56639.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
56640.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
56641.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
56642.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
56643.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
56644.5 -0.009 0.026 -0.040 0.019  0.024 0.030 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56645.5 -0.007 0.015  0.005 0.012  0.001 0.017 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56646.5  0.004 0.013  0.026 0.012  0.003 0.013 		 0.001121 0.002006 -0.000398 0.001700 -0.001261 0.001249  0.000221 0.000766 		  -0.285143   -0.875182
56647.5 -0.003 0.014  0.001 0.011 -0.003 0.013 		 0.003147 0.000664 -0.000204 0.000534 -0.000651 0.000405 -0.000219 0.000239 		   0.218979    1.017333
56648.5  0.008 0.013  0.024 0.011  0.009 0.013 		-0.006191 0.001573 -0.003532 0.001220 -0.000246 0.000902 -0.000729 0.000558 		  -0.031722   -0.127531
56649.5  0.023 0.013  0.032 0.010 -0.001 0.011 		-0.000808 0.000790  0.000112 0.000639 -0.000228 0.000485 -0.000758 0.000281 		  -0.009827   -0.021582
56650.5  0.012 0.013  0.016 0.009  0.012 0.010 		 0.000664 0.000710  0.000073 0.000532  0.000385 0.000410 -0.000133 0.000235 		   0.030805    0.046782
56651.5  0.026 0.010  0.005 0.008  0.003 0.009 		 0.000577 0.000670  0.000919 0.000551  0.000444 0.000396 -0.000184 0.000241 		   0.016951    0.016507
56652.5  0.039 0.014  0.064 0.010  0.022 0.009 		 0.003038 0.000475  0.001128 0.000407  0.000495 0.000300  0.000371 0.000179 		   0.012546    0.008732
56653.5  0.018 0.007  0.027 0.006  0.023 0.008 		 0.000731 0.000296  0.000402 0.000255  0.000354 0.000192 -0.000030 0.000122 		   0.019917    0.013676
56654.5  0.026 0.008  0.008 0.006  0.008 0.007 		 0.000277 0.000565 -0.000453 0.000506 -0.000631 0.000397 -0.000331 0.000265 		  -0.024359   -0.016951
56655.5  0.018 0.008  0.025 0.007 -0.001 0.008 		 0.000984 0.000607  0.000750 0.000571  0.000063 0.000476 -0.000014 0.000374 		   0.003537    0.026755
56656.5  0.039 0.012  0.019 0.009  0.024 0.011 		 0.001028 0.001085 -0.000116 0.000951  0.001001 0.000768 -0.000443 0.000534 		   0.025696    0.021200
56657.5  0.030 0.008  0.028 0.006  0.013 0.007 		 0.000831 0.000564 -0.000156 0.000512  0.000054 0.000396 -0.000013 0.000268 		   0.001796    0.013165
56658.5  0.030 0.007  0.016 0.005  0.015 0.007 		-0.000426 0.001438  0.000344 0.001074  0.001743 0.000825 -0.000129 0.000491 		   0.057974    0.030723
56659.5  0.025 0.007  0.021 0.005  0.030 0.007 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56660.5  0.029 0.007  0.028 0.005  0.014 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56661.5  0.050 0.008  0.034 0.006  0.006 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56662.5  0.031 0.007  0.038 0.005  0.014 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56663.5  0.033 0.007  0.031 0.006  0.014 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56664.5  0.035 0.006  0.029 0.005  0.015 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56665.5  0.041 0.008  0.036 0.006  0.018 0.007 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56666.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
56667.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
56668.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
56669.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
56670.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
56671.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
56672.5  0.005 0.005  0.036 0.005  0.042 0.007 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56673.5  0.015 0.005  0.019 0.005  0.015 0.005 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56674.5  0.017 0.005  0.026 0.005  0.026 0.005 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56675.5  0.023 0.005  0.036 0.005  0.020 0.005 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56676.5  0.023 0.006  0.036 0.005  0.017 0.005 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56677.5  0.036 0.006  0.039 0.005  0.026 0.005 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56678.5  0.034 0.006  0.030 0.005  0.027 0.006 		 0.000094 0.000139  0.000059 0.000114 -0.000085 0.000086 -0.000025 0.000057 		  -0.002502   -0.002591
56679.5  0.045 0.007  0.025 0.005  0.010 0.006 		 0.000076 0.000162  0.000066 0.000139 -0.000094 0.000111 -0.000007 0.000080 		  -0.002084   -0.002472
56680.5  0.026 0.007  0.016 0.005  0.010 0.006 		-0.000053 0.000122  0.000278 0.000098  0.000121 0.000075  0.000049 0.000057 		   0.004619    0.003126
56681.5  0.019 0.009  0.003 0.008  0.014 0.010 		-0.000042 0.000255 -0.000305 0.000225 -0.000076 0.000172  0.000093 0.000133 		  -0.004045   -0.009395
56682.5  0.018 0.006  0.021 0.006  0.010 0.007 		-0.001866 0.000551  0.000773 0.000428  0.000513 0.000308  0.000265 0.000170 		   0.028288    0.019600
56683.5  0.013 0.006  0.015 0.005  0.006 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56684.5  0.019 0.006  0.002 0.005 -0.007 0.006 		 0.000631 0.000358  0.000280 0.000298 -0.000359 0.000222 -0.000068 0.000135 		  -0.019167   -0.013500
56685.5  0.016 0.006  0.016 0.005  0.004 0.006 		 0.000058 0.000181  0.000174 0.000150 -0.000175 0.000113 -0.000058 0.000073 		  -0.010849   -0.008111
56686.5  0.013 0.007  0.020 0.005  0.009 0.006 		-0.000073 0.000251 -0.000084 0.000197  0.000342 0.000155 -0.000060 0.000110 		   0.026800    0.018298
56687.5  0.033 0.008  0.007 0.006  0.012 0.008 		-0.001015 0.000471 -0.000307 0.000376  0.000216 0.000299  0.000297 0.000213 		   0.006634    0.009327
56688.5  0.042 0.009  0.014 0.006  0.004 0.008 		 0.001509 0.000684 -0.001320 0.000552  0.000181 0.000421  0.000238 0.000273 		   0.004347    0.010167
56689.5  0.032 0.008  0.027 0.006  0.029 0.007 		-0.002604 0.001589  0.000399 0.001252  0.000112 0.000894 -0.000223 0.000377 		   0.003467    0.027580
56690.5  0.026 0.009  0.014 0.007  0.019 0.008 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56691.5  0.026 0.008  0.021 0.006  0.014 0.008 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56692.5  0.047 0.010  0.020 0.007  0.010 0.008 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56693.5  0.048 0.011  0.025 0.008  0.010 0.010 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56694.5  0.024 0.010  0.035 0.008  0.022 0.010 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56695.5  0.021 0.014  0.033 0.012  0.010 0.014 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56696.5  0.005 0.014  0.029 0.013  0.045 0.017 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56697.5  0.045 0.019  0.040 0.014 -0.007 0.013 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56698.5  0.023 0.008  0.025 0.006  0.026 0.008 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56699.5  0.015 0.006  0.020 0.005  0.003 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56700.5  0.032 0.007  0.026 0.005  0.020 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56701.5  0.039 0.007  0.038 0.005  0.008 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56702.5  0.017 0.006  0.023 0.005  0.012 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56703.5  0.019 0.006  0.021 0.005  0.005 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56704.5  0.036 0.010  0.020 0.007  0.017 0.010 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56705.5  0.049 0.008  0.037 0.006  0.019 0.007 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56706.5  0.030 0.006  0.030 0.005  0.021 0.006 		 0.001260 0.000786  0.001026 0.000578 -0.000470 0.000413  0.000342 0.000200 		  -0.015785   -0.014242
56707.5  0.028 0.007  0.024 0.005  0.009 0.006 		-0.000037 0.000435  0.000033 0.000378 -0.000598 0.000282  0.000086 0.000204 		  -0.021578   -0.011367
56708.5  0.012 0.006  0.019 0.005  0.011 0.006 		-0.000075 0.000131  0.000108 0.000117 -0.000030 0.000089 -0.000030 0.000061 		  -0.002442   -0.007477
56709.5  0.025 0.007  0.015 0.005  0.012 0.007 		 0.000088 0.000078 -0.000141 0.000068 -0.000035 0.000054  0.000010 0.000038 		  -0.001387   -0.002151
56710.5  0.022 0.008  0.028 0.007  0.007 0.008 		-0.000057 0.000060 -0.000084 0.000052 -0.000021 0.000041 -0.000034 0.000031 		  -0.000948   -0.001896
56711.5  0.014 0.007  0.020 0.006  0.009 0.008 		-0.000082 0.000057 -0.000099 0.000050  0.000045 0.000039 -0.000030 0.000029 		   0.003215    0.003284
56712.5  0.027 0.010  0.026 0.008  0.025 0.011 		-0.000127 0.000051 -0.000112 0.000046 -0.000032 0.000036 -0.000033 0.000027 		  -0.001172   -0.001380
56713.5  0.028 0.012  0.017 0.010  0.008 0.013 		-0.000721 0.000105 -0.000226 0.000089 -0.000060 0.000068  0.000010 0.000044 		  -0.002182   -0.002625
56714.5  0.030 0.013  0.034 0.013  0.043 0.019 		-0.000081 0.000066  0.000036 0.000057 -0.000070 0.000044 -0.000022 0.000032 		  -0.002291   -0.001728
56715.5  0.065 0.039  0.041 0.028  0.018 0.027 		-0.000306 0.000108 -0.000259 0.000096  0.000076 0.000073  0.000004 0.000049 		   0.001155    0.001308
56716.5  0.019 0.021  0.040 0.017 -0.058 0.018 		 0.000091 0.000069 -0.000106 0.000059  0.000024 0.000045 -0.000027 0.000033 		   0.001253    0.002722
56717.5  0.041 0.019  0.032 0.015 -0.003 0.018 		-0.000429 0.000106  0.000018 0.000086  0.000110 0.000067 -0.000024 0.000047 		   0.002721    0.002072
56718.5  0.013 0.014  0.025 0.013  0.004 0.016 		 0.000169 0.000091  0.000041 0.000077 -0.000024 0.000058 -0.000045 0.000042 		  -0.001819   -0.004791
56719.5  0.018 0.014  0.016 0.012  0.012 0.014 		 0.000054 0.000211 -0.000238 0.000183 -0.000058 0.000142 -0.000073 0.000093 		  -0.003129   -0.008046
56720.5  0.041 0.019  0.033 0.017  0.017 0.015 		-0.000157 0.000095 -0.000083 0.000081  0.000025 0.000064  0.000013 0.000049 		   0.000608    0.001601
56721.5  0.052 0.016  0.028 0.012  0.010 0.011 		 0.000001 0.000051  0.000030 0.000046  0.000029 0.000035 -0.000009 0.000025 		   0.000554    0.000704
56722.5  0.024 0.012  0.038 0.010  0.034 0.012 		-0.000177 0.000068 -0.000075 0.000060  0.000012 0.000047  0.000022 0.000034 		   0.000493    0.001931
56723.5  0.039 0.013  0.041 0.011  0.011 0.011 		-0.000122 0.000066 -0.000121 0.000059 -0.000001 0.000046 -0.000072 0.000034 		  -0.000027   -0.001180
56724.5  0.053 0.012  0.031 0.009  0.019 0.010 		 0.000058 0.000063  0.000105 0.000054  0.000012 0.000041 -0.000070 0.000029 		   0.000229    0.000781
56725.5  0.040 0.009  0.053 0.008  0.010 0.008 		-0.000237 0.000056 -0.000033 0.000048  0.000060 0.000036 -0.000033 0.000027 		   0.001491    0.000967
56726.5  0.051 0.009  0.046 0.007  0.005 0.007 		-0.000194 0.000058 -0.000018 0.000049 -0.000001 0.000038  0.000016 0.000028 		  -0.000019   -0.000733
56727.5  0.066 0.009  0.046 0.007  0.013 0.008 		-0.000616 0.000110 -0.000236 0.000092 -0.000189 0.000069  0.000006 0.000048 		  -0.002864   -0.001130
56728.5  0.074 0.015  0.083 0.011  0.060 0.013 		 0.000202 0.000088  0.000083 0.000075 -0.000044 0.000057 -0.000005 0.000042 		  -0.000592   -0.000777
56729.5  0.058 0.010  0.041 0.008  0.015 0.008 		 0.000117 0.000080 -0.000106 0.000068 -0.000061 0.000052  0.000053 0.000038 		  -0.001051   -0.000906
56730.5  0.059 0.009  0.052 0.007  0.019 0.007 		 0.000966 0.000064  0.000179 0.000056 -0.000052 0.000044  0.000017 0.000033 		  -0.000891   -0.000757
56731.5  0.073 0.009  0.056 0.007  0.019 0.007 		 0.000735 0.000057  0.000008 0.000050  0.000100 0.000038  0.000004 0.000027 		   0.001371    0.000550
56732.5  0.045 0.007  0.047 0.006  0.016 0.006 		 0.000423 0.000061  0.000034 0.000053 -0.000030 0.000040  0.000052 0.000028 		  -0.000672   -0.000896
56733.5  0.074 0.010  0.050 0.007  0.019 0.007 		 0.000335 0.000094  0.000097 0.000082 -0.000003 0.000062 -0.000089 0.000043 		  -0.000040   -0.000847
56734.5  0.102 0.009  0.111 0.007  0.026 0.006 		 0.000627 0.000086  0.000045 0.000073 -0.000126 0.000055  0.000061 0.000037 		  -0.001235   -0.000550
56735.5  0.097 0.009  0.079 0.007  0.015 0.006 		 0.000307 0.000079 -0.000029 0.000068  0.000051 0.000052 -0.000001 0.000039 		   0.000531    0.000538
56736.5  0.077 0.008  0.069 0.006  0.015 0.006 		 0.000328 0.000069 -0.000100 0.000061 -0.000016 0.000047 -0.000049 0.000033 		  -0.000212   -0.000603
56737.5  0.095 0.017  0.074 0.011  0.050 0.013 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56738.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
56739.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
56740.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
56741.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
56742.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
56743.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
56744.5  0.015 0.012  0.039 0.012  0.038 0.015 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56745.5  0.017 0.007  0.021 0.006  0.019 0.008 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
56746.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
56747.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
56748.5 -0.001 0.006  0.017 0.006  0.007 0.007 		 0.000104 0.000128  0.000122 0.000105 -0.000061 0.000081 -0.000044 0.000058 		   0.091509    0.813879
56749.5  0.017 0.006  0.018 0.005  0.007 0.006 		-0.000275 0.000098 -0.000237 0.000086 -0.000047 0.000066  0.000012 0.000049 		  -0.002800   -0.004036
56750.5  0.017 0.006  0.013 0.005  0.012 0.006 		 0.000539 0.000119  0.000230 0.000105  0.000105 0.000080  0.000053 0.000056 		   0.006266    0.005176
56751.5  0.017 0.006  0.006 0.004  0.010 0.006 		 0.000152 0.000098 -0.000150 0.000084 -0.000057 0.000064  0.000016 0.000044 		  -0.003310   -0.003870
56752.5  0.016 0.006  0.019 0.005 -0.001 0.006 		 0.000052 0.000115 -0.000081 0.000103  0.000033 0.000078 -0.000064 0.000051 		   0.002066    0.004938
