#MJD GSC_ch1 GSC_ch1_e GSC_ch2 GSC_ch2_e GSC_ch3 GSC_ch3_e BAT_ch1 BAT_ch1_e	BAT_ch2 BAT_ch2_e BAT_ch3 BAT_ch3_e BAT_ch4 BAT_ch4_e HR HR_e
55089.5  0.043 0.005  0.044 0.005  0.017 0.006 		 0.000718 0.000091  0.000094 0.000080 -0.000030 0.000068 -0.000046 0.000055 		  -0.000702   -0.001577
55090.5  0.058 0.005  0.057 0.005  0.015 0.006 		 0.000468 0.000120  0.000034 0.000102  0.000127 0.000086  0.000140 0.000069 		   0.002202    0.001505
55091.5  0.030 0.005  0.030 0.004  0.014 0.006 		 0.000164 0.000216 -0.000774 0.000176 -0.000166 0.000140 -0.000194 0.000092 		  -0.005555   -0.004796
55092.5  0.039 0.006  0.042 0.005  0.005 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
55093.5  0.028 0.005  0.028 0.005  0.007 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
55094.5  0.034 0.007  0.039 0.006  0.047 0.009 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
55095.5  0.035 0.005  0.024 0.005  0.004 0.007 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
55096.5  0.029 0.011  0.034 0.010  0.081 0.017 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
55097.5  0.000 0.000  0.000 0.000  0.000 0.000 		-0.000228 0.000080 -0.000102 0.000074 -0.000060 0.000061 -0.000009 0.000048 		-100.000000    0.000000
55098.5  0.000 0.000  0.000 0.000  0.000 0.000 		-0.001014 0.000126 -0.000059 0.000107  0.000077 0.000086 -0.000062 0.000056 		-100.000000    0.000000
55099.5  0.000 0.000  0.000 0.000  0.000 0.000 		-0.000231 0.000154 -0.000119 0.000131  0.000235 0.000101 -0.000130 0.000060 		-100.000000    0.000000
55100.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.000491 0.000089  0.000029 0.000080 -0.000172 0.000063 -0.000038 0.000038 		-100.000000    0.000000
55101.5  0.000 0.000  0.000 0.000  0.000 0.000 		-0.000269 0.000058 -0.000029 0.000053 -0.000018 0.000044 -0.000042 0.000032 		-100.000000    0.000000
55102.5  0.004 0.006  0.005 0.005 -0.001 0.007 		 0.000101 0.000062  0.000107 0.000059  0.000032 0.000049 -0.000024 0.000039 		   0.007592    0.015916
55103.5  0.003 0.005  0.011 0.005  0.006 0.006 		-0.000150 0.000075 -0.000008 0.000068 -0.000037 0.000056 -0.000013 0.000042 		  -0.013538   -0.032478
55104.5 -0.000 0.005  0.002 0.005 -0.007 0.005 		-0.000247 0.000051  0.000010 0.000044  0.000041 0.000036  0.000036 0.000027 		  -0.135373   -2.057453
55105.5  0.006 0.005 -0.003 0.004  0.012 0.006 		-0.000255 0.000152  0.000297 0.000137 -0.000006 0.000110  0.000028 0.000071 		  -0.001102   -0.019938
55106.5  0.015 0.006  0.017 0.005  0.007 0.006 		 0.000118 0.000064 -0.000011 0.000054 -0.000012 0.000044  0.000005 0.000035 		  -0.000779   -0.003018
