0.0100	58	13	19	26
0.0200	34	5	13	22
0.0300	47	14	12	21
0.0400	42	5	15	26
0.0500	21	3	8	18
0.0600	21	1	12	10
0.0700	10	0	6	8
0.0800	6	4	2	4
0.0900	5	1	5	5
0.1000	1	0	2	1
0.1100	0	1	1	0
0.1200	1	0	1	3
0.1300	0	0	2	0
0.1400	1	1	1	1
0.1500	0	0	1	1
0.1600	0	0	0	0
0.1700	0	0	1	1
0.1800	0	1	1	0
0.1900	1	0	1	0
0.2000	1	0	0	0
0.2100	0	1	0	0
0.2200	0	0	1	0
0.2300	0	0	0	0
0.2400	1	0	0	0
0.2500	0	0	0	1
0.2600	0	0	0	0
0.2700	0	0	0	0
0.2800	1	0	0	0
0.2900	0	0	1	0
0.3000	0	0	0	0
0.3100	0	0	0	0
0.3200	1	0	0	0
0.3300	0	0	0	0
0.3400	0	0	1	0
0.3500	0	0	0	1
0.3600	0	1	0	0
0.3700	0	0	0	0
0.3800	1	0	3	0
0.3900	0	0	0	0
0.4000	0	0	1	0
0.4100	0	0	0	0
0.4200	0	0	0	0
0.4300	0	0	0	0
0.4400	0	1	1	0
0.4500	0	0	0	0
0.4600	0	0	0	0
0.4700	0	0	0	0
0.4800	0	0	0	0
0.4900	0	1	0	0
0.5000	0	0	0	0
0.5100	0	0	0	0
0.5200	0	0	0	0
0.5300	1	0	0	0
0.5400	0	0	1	0
0.5500	0	1	0	1
0.5600	0	0	0	0
0.5700	0	0	0	0
0.5800	0	0	1	0
0.5900	0	0	0	0
0.6000	0	0	0	0
0.6100	1	0	0	0
0.6200	0	2	1	0
0.6300	0	0	1	0
0.6400	0	0	0	0
0.6500	0	0	0	0
0.6600	1	0	0	0
0.6700	1	0	0	0
0.6800	0	0	1	0
0.6900	0	0	0	0
0.7000	0	0	2	0
0.7100	0	0	0	0
0.7200	0	0	1	0
0.7300	0	0	0	0
0.7400	0	0	0	0
0.7500	1	1	0	0
0.7600	0	0	0	1
0.7700	0	0	0	0
0.7800	0	0	0	0
0.7900	1	0	1	1
0.8000	1	0	0	0
0.8100	2	1	2	0
0.8200	0	0	0	1
0.8300	2	0	1	0
0.8400	1	1	0	1
0.8500	2	0	0	1
0.8600	0	0	0	0
0.8700	0	0	0	0
0.8800	2	1	1	0
0.8900	1	0	0	0
0.9000	0	1	1	1
0.9100	0	0	0	0
0.9200	1	0	1	0
0.9300	1	0	0	0
0.9400	0	1	0	1
0.9500	1	1	0	0
0.9600	0	1	0	0
0.9700	0	0	0	0
0.9800	1	1	0	1
0.9900	0	1	0	0
1.0000	1	0	1	0
1.0100	1	1	0	0
1.0200	1	1	0	0
1.0300	1	0	0	0
1.0400	1	0	0	0
1.0500	0	0	1	0
1.0600	0	0	0	1
1.0700	2	1	4	0
1.0800	0	1	0	2
1.0900	3	0	1	0
1.1000	0	2	5	2
1.1100	2	1	2	1
1.1200	3	1	5	0
1.1300	1	1	1	1
1.1400	1	1	0	0
1.1500	2	3	3	4
1.1600	3	1	2	1
1.1700	0	2	2	2
1.1800	2	2	1	2
1.1900	7	2	2	4
1.2000	3	0	4	0
1.2100	2	2	3	3
1.2200	0	2	2	4
1.2300	4	4	1	3
1.2400	4	2	5	5
1.2500	1	2	4	3
1.2600	5	4	4	3
1.2700	1	2	3	4
1.2800	1	0	2	5
1.2900	6	2	3	2
1.3000	6	1	0	5
1.3100	2	3	1	2
1.3200	4	2	0	7
1.3300	2	2	5	3
1.3400	4	3	3	5
1.3500	2	4	1	3
1.3600	6	7	2	2
1.3700	7	3	4	3
1.3800	4	2	2	4
1.3900	7	3	1	2
1.4000	7	3	3	4
1.4100	8	5	5	4
1.4200	2	4	8	4
1.4300	6	2	1	3
1.4400	5	3	4	4
1.4500	9	3	1	11
1.4600	7	8	8	9
1.4700	12	2	5	8
1.4800	5	7	9	15
1.4900	8	4	5	9
1.5000	9	6	10	3
1.5100	15	7	9	13
1.5200	7	10	13	4
1.5300	9	14	5	10
1.5400	10	6	10	7
1.5500	7	7	8	12
1.5600	8	6	11	11
1.5700	10	1	5	8
1.5800	11	6	7	12
1.5900	13	9	2	6
1.6000	11	9	8	5
1.6100	9	4	6	9
1.6200	10	6	7	8
1.6300	8	6	5	10
1.6400	7	6	9	11
1.6500	14	8	7	11
1.6600	11	8	14	5
1.6700	10	13	8	7
1.6800	10	13	12	12
1.6900	12	9	13	12
1.7000	7	12	12	10
1.7100	15	13	8	12
1.7200	14	12	12	9
1.7300	17	16	12	11
1.7400	17	13	11	13
1.7500	14	13	12	12
1.7600	18	13	11	13
1.7700	13	8	11	13
1.7800	17	13	10	19
1.7900	24	15	11	20
1.8000	15	19	8	21
1.8100	17	23	10	17
1.8200	20	13	18	20
1.8300	9	18	16	19
1.8400	18	25	15	22
1.8500	20	19	22	22
1.8600	35	20	21	28
1.8700	30	27	22	32
1.8800	47	36	25	35
1.8900	34	45	29	28
1.9000	41	50	32	28
1.9100	50	63	52	52
1.9200	48	56	53	55
1.9300	59	51	70	59
1.9400	68	69	64	72
1.9500	69	69	62	66
1.9600	84	74	68	58
1.9700	92	91	61	63
1.9800	71	72	68	51
1.9900	57	48	54	63
2.0000	59	73	50	55
2.0100	60	51	29	51
2.0200	50	50	51	38
2.0300	35	36	27	40
2.0400	36	39	33	35
2.0500	33	26	29	33
2.0600	30	28	24	31
2.0700	19	37	30	27
2.0800	32	29	28	22
2.0900	25	27	29	38
2.1000	15	39	26	23
2.1100	20	20	20	30
2.1200	24	41	27	31
2.1300	27	21	26	22
2.1400	15	27	24	30
2.1500	37	36	20	23
2.1600	30	33	24	26
2.1700	28	38	24	18
2.1800	30	28	27	38
2.1900	32	42	25	25
2.2000	23	38	32	34
2.2100	32	40	38	34
2.2200	26	32	39	29
2.2300	36	41	20	43
2.2400	32	47	28	21
2.2500	41	41	37	28
2.2600	25	40	37	31
2.2700	33	44	34	41
2.2800	51	54	37	36
2.2900	33	43	38	38
2.3000	39	59	37	45
2.3100	59	44	40	31
2.3200	53	46	51	34
2.3300	44	43	29	34
2.3400	35	45	28	36
2.3500	45	62	41	30
2.3600	45	35	39	33
2.3700	33	50	26	44
2.3800	37	38	38	41
2.3900	35	48	30	40
2.4000	31	50	36	16
2.4100	30	50	34	37
2.4200	42	37	24	35
2.4300	39	46	49	31
2.4400	36	51	33	32
2.4500	42	49	29	37
2.4600	53	55	45	34
2.4700	37	48	27	37
2.4800	26	43	29	26
2.4900	39	53	37	40
2.5000	32	58	46	43
2.5100	30	52	39	37
2.5200	43	48	46	39
2.5300	44	54	34	33
2.5400	31	47	31	36
2.5500	40	66	43	31
2.5600	49	54	41	44
2.5700	48	53	32	38
2.5800	48	57	54	44
2.5900	40	63	39	35
2.6000	23	49	50	36
2.6100	42	58	50	25
2.6200	48	68	65	43
2.6300	45	60	49	44
2.6400	44	53	49	49
2.6500	39	76	42	49
2.6600	55	69	44	49
